,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Fabia-Smart Toilet,10001,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Vivia Smart Toilet,10002,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Milana (Wall Hung) ,10003,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Veronica (Tornado Jet Flush),10005,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Alvira (Jet Flush),10006,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Viola (Jet Flush),10007,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Tiana (Jet Flush),10008,Sanitary Ware,Stella,pcs,20126,23676.2,2,3,
,,Aurora (Jet Flush),10009,Sanitary Ware,Stella,pcs,18711,22011.6,2,6,
,,Arvia (Jet Flush),10010,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Fortuna (Tornado Jet Flush),10011,Sanitary Ware,Stella,pcs,17609.45,20715.8,2,4,
,,Verona (Tornado Jet Flush),10012,Sanitary Ware,Stella,pcs,16395.65,19287.8,2,3,
,,Nora (Jet Flush),10013,Sanitary Ware,Stella,pcs,15306.8,18006.9,2,1,
,,Rivella (Tornado Jet Flush),10014,Sanitary Ware,Stella,pcs,18700,21998.7,2,3,
,,Marlina (Tornado Jet Flush)  ,10015,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Evana (Tornado Jet Flush),10016,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Roma (Jet Flush),10017,Sanitary Ware,Stella,pcs,14071.75,16554.0,2,3,
,,Romala Commode,10019,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Vivana Commode,10020,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Isabella Commode,10021,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Arina Commode Off/White,10022,Sanitary Ware,Stella,pcs,11320.1,13317.0,2,3,
,,Arina Commode White,10023,Sanitary Ware,Stella,pcs,11320.1,13317.0,2,6,
,,Verso (Hydraulic),10024,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Marcela (Hydraulic),10025,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Marcela Commode,10026,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Marcela P-Trap (Hydraulic),10027,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Marcela P-Trap ,10028,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Victoria (Hydraulic) Off/White,10029,Sanitary Ware,Stella,pcs,7594.84,8934.6,2,5,
,,Victoria (Hydraulic)White,10030,Sanitary Ware,Stella,pcs,7594.84,8934.6,2,4,
,,Victoria (Jet Flush),10031,Sanitary Ware,Stella,pcs,7089.72,8340.3,2,2,
,,Serina Commode,10032,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Imola (Hydraulic),10033,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Imola Commode,10034,Sanitary Ware,Stella,pcs,0,0.0,2,0,
,,Imola P-Trap (Hydraulic),10035,Sanitary Ware,Stella,pcs,0,0.0,2,0,
